代號,名稱,市場,,,,,,,,,,,,,PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
00942B,台新美A公司債20+,櫃,,,,,,,,,,,,,,,,,,,
00948B,中信優息投資級債,櫃,,,,,,,,,,,,,,,,,,,
00950B,凱基A級公司債,櫃,,,,,,,,,,,,,,,,,,,
00955,中信日本商社,櫃,,,,,,,,,,,,,,,,,,,
00957B,兆豐US優選投等債,櫃,,,,,,,,,,,,,,,,,,,
00958B,永豐ESG銀行債15+,櫃,,,,,,,,,,,,,,,,,,,
00959B,大華投等美債15Y+,櫃,,,,,,,,,,,,,,,,,,,
020001,富邦存股雙十N,櫃,,,,,,,,,,,,,,,,,,,
02001B,統一美國政府債N,櫃,,,,,,,,,,,,,,,,,,,
020023,元大櫃買半導體N,櫃,,,,,,,,,,,,,,,,,,,
020025,統一亞洲半導體N,櫃,,,,,,,,,,,,,,,,,,,
020027,元大上櫃ESG成長N,櫃,,,,,,,,,,,,,,,,,,,
020033,統一恒生科期N,櫃,,,,,,,,,,,,,,,,,,,
020035,元大上櫃ESG高息N,櫃,,,,,,,,,,,,,,,,,,,
020040,元大上櫃ESG龍頭N,櫃,,,,,,,,,,,,,,,,,,,
020041,兆豐半導體氣候N,櫃,,,,,,,,,,,,,,,,,,,
1240,茂生農經,櫃,,,,,,,,,,,,,11.9,1.18,,,,,
1259,安心,櫃,,,,,,,,,,,,,23.2,0.87,,,,,
1264,德麥,櫃,,,,,,,,,,,,,15.1,3.44,,,,,
1268,漢來美食,櫃,,,,,,,,,,,,,17.5,2.87,,,,,
1294,漢田生技,櫃,,,,,,,,,,,,,12.4,3.04,,,,,
1336,台翰,櫃,,,,,,,,,,,,,14.3,1.1,,,,,
1565,精華,櫃,,,,,,,,,,,,,17.8,1.78,,,,,
1569,濱川,櫃,,,,,,,,,,,,,,2.59,,,,,
1570,力肯,櫃,,,,,,,,,,,,,16.1,1.49,,,,,
1580,新麥,櫃,,,,,,,,,,,,,11.5,2.42,,,,,
1584,精剛,櫃,,,,,,,,,,,,,9.63,1.62,,,,,
1586,和勤,櫃,,,,,,,,,,,,,44.9,1.58,,,,,
1591,駿吉-KY,櫃,,,,,,,,,,,,,,3.96,,,,,
1593,祺驊,櫃,,,,,,,,,,,,,29.4,1.15,,,,,
1595,川寶,櫃,,,,,,,,,,,,,,1.11,,,,,
1599,宏佳騰,櫃,,,,,,,,,,,,,145,1.18,,,,,
1742,台蠟,櫃,,,,,,,,,,,,,55.6,1.13,,,,,
1777,生泰,櫃,,,,,,,,,,,,,13.4,1.78,,,,,
1781,合世,櫃,,,,,,,,,,,,,,2.15,,,,,
1784,訊聯,櫃,,,,,,,,,,,,,86.4,3.86,,,,,
1785,光洋科,櫃,,,,,,,,,,,,,30.5,2.96,,,,,
1788,杏昌,櫃,,,,,,,,,,,,,16.8,2.1,,,,,
1796,金穎生技,櫃,,,,,,,,,,,,,,2.64,,,,,
1799,易威,櫃,,,,,,,,,,,,,,10.7,,,,,
1813,寶利徠,櫃,,,,,,,,,,,,,,1.19,,,,,
1815,富喬,櫃,,,,,,,,,,,,,,2.05,,,,,
2035,唐榮,櫃,,,,,,,,,,,,,,2.71,,,,,
2061,風青,櫃,,,,,,,,,,,,,,1.82,,,,,
2063,世鎧,櫃,,,,,,,,,,,,,15.4,1.49,,,,,
2064,晉椿,櫃,,,,,,,,,,,,,,1,,,,,
2065,世豐,櫃,,,,,,,,,,,,,13,1.53,,,,,
2066,世德,櫃,,,,,,,,,,,,,13.7,2.18,,,,,
2067,嘉鋼,櫃,,,,,,,,,,,,,,1.89,,,,,
2070,精湛,櫃,,,,,,,,,,,,,22.8,3.21,,,,,
2073,雄順,櫃,,,,,,,,,,,,,39.4,1.71,,,,,
2221,大甲,櫃,,,,,,,,,,,,,17,1.23,,,,,
2230,泰茂,櫃,,,,,,,,,,,,,25.7,7,,,,,
2235,謚源,櫃,,,,,,,,,,,,,22.1,1.35,,,,,
2596,綠意,櫃,,,,,,,,,,,,,152,2.14,,,,,
2640,大車隊,櫃,,,,,,,,,,,,,14.7,3.76,,,,,
2641,正德,櫃,,,,,,,,,,,,,9.33,0.82,,,,,
2643,捷迅,櫃,,,,,,,,,,,,,11,1.4,,,,,
2718,晶悅,櫃,,,,,,,,,,,,,2.6,1.55,,,,,
2719,燦星旅,櫃,,,,,,,,,,,,,12.2,3.65,,,,,
2724,藝舍-KY,櫃,,,,,,,,,,,,,14.1,5.13,,,,,
2726,雅茗-KY,櫃,,,,,,,,,,,,,12.3,2.07,,,,,
2729,瓦城,櫃,,,,,,,,,,,,,23,3.14,,,,,
2732,六角,櫃,,,,,,,,,,,,,19.9,2.44,,,,,
2734,易飛網,櫃,,,,,,,,,,,,,19.5,3.19,,,,,
2736,富野,櫃,,,,,,,,,,,,,,0.93,,,,,
2740,天蔥,櫃,,,,,,,,,,,,,,7.95,,,,,
2743,山富,櫃,,,,,,,,,,,,,10.8,3.44,,,,,
2745,五福,櫃,,,,,,,,,,,,,9.63,4.24,,,,,
2751,王座,櫃,,,,,,,,,,,,,15,3.08,,,,,
2752,豆府,櫃,,,,,,,,,,,,,16.5,5.05,,,,,
2754,亞洲藏壽司,櫃,,,,,,,,,,,,,41.3,2.49,,,,,
2755,揚秦,櫃,,,,,,,,,,,,,18.6,3.93,,,,,
2756,聯發國際,櫃,,,,,,,,,,,,,33.2,3.53,,,,,
2916,滿心,櫃,,,,,,,,,,,,,11.4,2.1,,,,,
2924,宏太-KY,櫃,,,,,,,,,,,,,,3.11,,,,,
2926,誠品生活,櫃,,,,,,,,,,,,,120,4.1,,,,,
2937,集雅社,櫃,,,,,,,,,,,,,11.6,1.53,,,,,
2941,米斯特,櫃,,,,,,,,,,,,,21.1,2.86,,,,,
2947,振宇五金,櫃,,,,,,,,,,,,,25.7,2.16,,,,,
2948,寶陞,櫃,,,,,,,,,,,,,23.3,1.45,,,,,
2949,欣新網,櫃,,,,,,,,,,,,,22.6,2.15,,,,,
3064,泰偉,櫃,,,,,,,,,,,,,252,9.14,,,,,
3066,李洲,櫃,,,,,,,,,,,,,20.8,1.68,,,,,
3067,全域,櫃,,,,,,,,,,,,,,2.2,,,,,
3071,協禧,櫃,,,,,,,,,,,,,47.1,2.19,,,,,
3073,天方能源,櫃,,,,,,,,,,,,,119,4.73,,,,,
3078,僑威,櫃,,,,,,,,,,,,,14.1,2.44,,,,,
3081,聯亞,櫃,,,,,,,,,,,,,,8.89,,,,,
3083,網龍,櫃,,,,,,,,,,,,,55.8,2.96,,,,,
3085,新零售,櫃,,,,,,,,,,,,,,3.58,,,,,
3086,華義,櫃,,,,,,,,,,,,,145,12.1,,,,,
3088,艾訊,櫃,,,,,,,,,,,,,16.5,2.63,,,,,
3093,港建*,櫃,,,,,,,,,,,,,27.9,4,,,,,
3095,及成,櫃,,,,,,,,,,,,,24.1,4.23,,,,,
3105,穩懋,櫃,,,,,,,,,,,,,32,1.3,,,,,
3114,好德,櫃,,,,,,,,,,,,,31.7,1.13,,,,,
3115,富榮綱,櫃,,,,,,,,,,,,,,2.11,,,,,
3118,進階,櫃,,,,,,,,,,,,,15.8,1.92,,,,,
3122,笙泉,櫃,,,,,,,,,,,,,,2.8,,,,,
3128,昇銳,櫃,,,,,,,,,,,,,29,1.84,,,,,
3131,弘塑,櫃,,,,,,,,,,,,,65.1,11.8,,,,,
3141,晶宏,櫃,,,,,,,,,,,,,,2.53,,,,,
3147,大綜,櫃,,,,,,,,,,,,,20.6,4.32,,,,,
3152,璟德,櫃,,,,,,,,,,,,,30.3,3.34,,,,,
3162,精確,櫃,,,,,,,,,,,,,,2.01,,,,,
3163,波若威,櫃,,,,,,,,,,,,,30.5,4.13,,,,,
3169,亞信,櫃,,,,,,,,,,,,,28.6,3.72,,,,,
3171,炎洲流通,櫃,,,,,,,,,,,,,19.4,1.76,,,,,
3176,基亞,櫃,,,,,,,,,,,,,,2.86,,,,,
3178,公準,櫃,,,,,,,,,,,,,55.3,2.6,,,,,
3188,鑫龍騰,櫃,,,,,,,,,,,,,7.35,1.94,,,,,
